manufacturer,type,size,year,condition,fuel,odometer,transmission,drive,cylinders,paint_color,price
chevrolet,sedan,mid-size,2018,like new,gas,39000,automatic,fwd,4 cylinders,grey,1000
chevrolet,sedan,full-size,2016,excellent,gas,79328,automatic,fwd,6 cylinders,silver,1000
ram,pickup,full-size,2013,good,gas,85509,automatic,4wd,8 cylinders,brown,1000
ford,hatchback,compact,2012,fair,gas,160000,automatic,fwd,4 cylinders,white,1000
honda,SUV,mid-size,2000,fair,gas,180000,automatic,fwd,4 cylinders,black,1000
subaru,sedan,full-size,2002,fair,gas,220862,automatic,4wd,4 cylinders,silver,1000
ford,truck,mid-size,2007,fair,gas,300000,automatic,4wd,6 cylinders,white,1000
ford,van,full-size,2003,good,gas,200000,automatic,rwd,6 cylinders,white,1050
chrysler,hatchback,compact,2002,fair,gas,220000,manual,fwd,4 cylinders,grey,1200
gmc,SUV,full-size,2007,good,gas,223000,automatic,4wd,6 cylinders,red,1200
mitsubishi,coupe,compact,2001,good,gas,209000,manual,fwd,4 cylinders,red,1300
kia,sedan,mid-size,2004,excellent,gas,96204,automatic,fwd,4 cylinders,silver,1395
mitsubishi,sedan,mid-size,2013,good,gas,94707,automatic,fwd,4 cylinders,white,1400
chevrolet,sedan,mid-size,2003,good,gas,193674,automatic,fwd,6 cylinders,red,1450
kia,SUV,mid-size,2005,good,gas,155000,automatic,rwd,6 cylinders,white,1500
dodge,SUV,full-size,2003,fair,gas,170000,automatic,4wd,8 cylinders,blue,1500
nissan,SUV,mid-size,2011,good,gas,190000,automatic,fwd,4 cylinders,grey,1500
chevrolet,mini-van,full-size,2004,good,gas,207900,automatic,fwd,6 cylinders,brown,1500
ford,sedan,mid-size,2004,excellent,gas,307243,automatic,fwd,6 cylinders,white,1500
kia,hatchback,mid-size,2013,excellent,gas,95508,automatic,fwd,4 cylinders,silver,1800
honda,SUV,compact,2001,fair,gas,338000,automatic,fwd,4 cylinders,white,1800
chevrolet,truck,full-size,2000,fair,gas,193535,automatic,rwd,8 cylinders,white,1850
kia,sedan,mid-size,2004,excellent,gas,77661,automatic,fwd,4 cylinders,green,1900
gmc,SUV,full-size,2001,good,gas,120000,automatic,rwd,6 cylinders,blue,1900
nissan,sedan,compact,2002,excellent,gas,150000,automatic,fwd,4 cylinders,custom,1900
nissan,sedan,full-size,2001,excellent,gas,152000,automatic,fwd,4 cylinders,black,1900
honda,SUV,full-size,2007,good,gas,246800,automatic,fwd,6 cylinders,green,1900
saturn,SUV,compact,2007,excellent,gas,230950,automatic,fwd,6 cylinders,blue,1950
ford,SUV,full-size,2003,good,gas,381151,automatic,4wd,8 cylinders,black,1950
chrysler,hatchback,mid-size,2005,excellent,gas,82691,manual,fwd,4 cylinders,white,1995
chevrolet,pickup,full-size,2000,good,gas,200000,automatic,rwd,8 cylinders,white,1995
chevrolet,SUV,full-size,2003,fair,gas,202760,automatic,4wd,8 cylinders,silver,1995
toyota,sedan,compact,2017,like new,gas,28610,automatic,fwd,4 cylinders,blue,2000
cadillac,other,full-size,2003,fair,gas,106000,automatic,fwd,8 cylinders,black,2000
mazda,hatchback,mid-size,2008,good,gas,109000,automatic,fwd,4 cylinders,grey,2000
hyundai,sedan,mid-size,2009,good,gas,134000,automatic,fwd,6 cylinders,silver,2000
honda,coupe,compact,2004,good,gas,136000,automatic,fwd,4 cylinders,white,2000
subaru,hatchback,mid-size,2001,fair,gas,175237,automatic,4wd,4 cylinders,green,2000
honda,sedan,mid-size,2003,fair,gas,177000,automatic,fwd,4 cylinders,blue,2000
jeep,SUV,mid-size,2002,good,gas,190000,automatic,4wd,6 cylinders,blue,2000
pontiac,sedan,mid-size,2006,fair,gas,204000,automatic,fwd,4 cylinders,black,2000
ford,SUV,full-size,2000,excellent,gas,260000,automatic,rwd,8 cylinders,silver,2100
dodge,mini-van,full-size,2003,good,gas,162000,automatic,fwd,6 cylinders,purple,2200
toyota,sedan,mid-size,2003,good,gas,257000,automatic,fwd,4 cylinders,grey,2200
pontiac,mini-van,mid-size,2001,good,gas,194000,automatic,fwd,6 cylinders,custom,2250
ford,SUV,full-size,2003,good,gas,256000,automatic,4wd,8 cylinders,silver,2284
toyota,convertible,compact,2004,good,gas,216000,automatic,fwd,6 cylinders,white,2300
chevrolet,sedan,mid-size,2003,good,gas,103275,automatic,fwd,6 cylinders,silver,2350
honda,sedan,compact,2001,good,gas,153993,automatic,fwd,4 cylinders,white,2400
chevrolet,sedan,mid-size,2009,good,gas,250000,automatic,fwd,4 cylinders,custom,2400
chevrolet,SUV,full-size,2005,fair,gas,168000,automatic,fwd,6 cylinders,custom,2450
chrysler,SUV,mid-size,2006,excellent,gas,232000,automatic,fwd,6 cylinders,blue,2495
subaru,SUV,mid-size,2008,excellent,gas,233200,automatic,4wd,4 cylinders,blue,2495
chevrolet,sedan,mid-size,2009,fair,gas,248762,automatic,fwd,6 cylinders,blue,2495
hyundai,sedan,compact,2003,good,gas,18000,automatic,fwd,4 cylinders,brown,2500
cadillac,sedan,full-size,2008,fair,gas,99400,automatic,fwd,8 cylinders,blue,2500
ram,van,mid-size,2001,good,gas,109132,automatic,rwd,6 cylinders,white,2500
mercedes-benz,sedan,mid-size,2004,fair,gas,110416,automatic,4wd,6 cylinders,blue,2500
toyota,coupe,compact,2007,good,gas,154000,manual,fwd,4 cylinders,blue,2500
volkswagen,sedan,full-size,2007,fair,gas,156620,automatic,fwd,4 cylinders,grey,2500
hyundai,sedan,compact,2009,excellent,gas,161000,automatic,fwd,4 cylinders,red,2500
dodge,van,full-size,2006,excellent,gas,170000,automatic,fwd,6 cylinders,red,2500
jeep,SUV,mid-size,2005,excellent,gas,170000,automatic,4wd,6 cylinders,brown,2500
chevrolet,sedan,full-size,2007,good,gas,183846,automatic,fwd,6 cylinders,silver,2500
mercury,hatchback,full-size,2000,good,gas,187000,automatic,4wd,8 cylinders,white,2500
chevrolet,sedan,compact,2006,good,gas,189123,automatic,fwd,4 cylinders,red,2500
toyota,sedan,full-size,2003,fair,gas,202000,automatic,fwd,6 cylinders,black,2500
mazda,sedan,full-size,2017,excellent,gas,202912,manual,fwd,4 cylinders,white,2500
chevrolet,sedan,full-size,2007,good,gas,210000,automatic,fwd,6 cylinders,silver,2500
chevrolet,SUV,full-size,2003,fair,gas,262000,automatic,rwd,8 cylinders,blue,2500
ford,truck,full-size,2007,good,gas,268693,automatic,4wd,8 cylinders,white,2500
honda,sedan,mid-size,2006,good,gas,311000,automatic,fwd,4 cylinders,silver,2500
subaru,SUV,mid-size,2004,good,gas,217000,automatic,4wd,4 cylinders,silver,2600
chrysler,mini-van,full-size,2008,good,gas,198000,automatic,fwd,6 cylinders,black,2675
volkswagen,sedan,compact,2008,excellent,gas,174000,manual,fwd,5 cylinders,black,2700
chevrolet,SUV,full-size,2002,excellent,gas,180200,automatic,4wd,6 cylinders,white,2700
volkswagen,sedan,compact,2002,fair,gas,78000,manual,fwd,6 cylinders,grey,2750
dodge,mini-van,full-size,2006,good,gas,95000,automatic,fwd,6 cylinders,black,2750
ford,SUV,mid-size,2005,good,gas,186000,automatic,fwd,6 cylinders,silver,2750
audi,sedan,full-size,2000,good,gas,187572,manual,4wd,6 cylinders,silver,2750
ford,sedan,mid-size,2005,good,gas,133000,automatic,fwd,5 cylinders,silver,2800
dodge,pickup,mid-size,2004,fair,gas,156000,automatic,4wd,8 cylinders,red,2800
acura,coupe,compact,2001,good,gas,183879,automatic,fwd,6 cylinders,silver,2800
gmc,SUV,mid-size,2002,good,gas,305000,automatic,4wd,6 cylinders,red,2800
volkswagen,hatchback,compact,2002,good,gas,116000,automatic,fwd,5 cylinders,green,2850
toyota,sedan,compact,2001,excellent,gas,136000,automatic,fwd,4 cylinders,silver,2850
jeep,SUV,full-size,2000,good,gas,160690,automatic,4wd,6 cylinders,silver,2850
nissan,sedan,compact,2001,excellent,gas,171000,automatic,fwd,4 cylinders,green,2850
honda,SUV,full-size,2002,good,gas,245000,automatic,4wd,4 cylinders,silver,2850
pontiac,coupe,mid-size,2007,good,gas,123427,automatic,fwd,4 cylinders,red,2900
mercedes-benz,sedan,full-size,2000,fair,gas,130208,automatic,rwd,8 cylinders,black,2900
ford,SUV,full-size,2006,good,gas,145600,automatic,fwd,6 cylinders,green,2900
jeep,hatchback,compact,2008,good,gas,158000,manual,fwd,4 cylinders,silver,2900
audi,sedan,mid-size,2006,excellent,gas,160579,manual,4wd,4 cylinders,blue,2900
buick,sedan,full-size,2001,good,gas,184072,automatic,fwd,6 cylinders,white,2950
honda,sedan,full-size,2002,good,gas,86000,automatic,fwd,4 cylinders,black,2988
chevrolet,sedan,mid-size,2004,excellent,gas,113526,automatic,fwd,6 cylinders,silver,2990
hyundai,sedan,compact,2001,like new,gas,69000,manual,fwd,4 cylinders,silver,2995
chevrolet,wagon,mid-size,2004,like new,gas,152000,automatic,fwd,6 cylinders,red,2995
dodge,hatchback,compact,2007,good,gas,184620,automatic,fwd,4 cylinders,white,2995
mazda,sedan,compact,2009,excellent,gas,187000,manual,fwd,4 cylinders,silver,2995
mazda,sedan,mid-size,2006,excellent,gas,188935,automatic,fwd,4 cylinders,black,2995
chrysler,convertible,compact,2003,excellent,gas,81788,automatic,fwd,6 cylinders,blue,2999
chrysler,sedan,compact,2007,good,gas,167532,automatic,fwd,4 cylinders,black,2999
hyundai,sedan,compact,2009,excellent,gas,180609,manual,fwd,4 cylinders,grey,2999
toyota,sedan,full-size,2001,fair,gas,81000,automatic,fwd,4 cylinders,silver,3000
chevrolet,sedan,compact,2010,good,gas,96748,automatic,fwd,4 cylinders,silver,3000
jaguar,sedan,mid-size,2004,fair,gas,116200,automatic,4wd,6 cylinders,black,3000
honda,coupe,full-size,2007,excellent,gas,130000,automatic,fwd,4 cylinders,blue,3000
hyundai,SUV,mid-size,2006,fair,gas,135000,automatic,fwd,4 cylinders,black,3000
dodge,hatchback,compact,2010,good,gas,150000,manual,fwd,4 cylinders,silver,3000
hyundai,SUV,mid-size,2004,good,gas,165320,automatic,4wd,6 cylinders,silver,3000
ram,truck,full-size,2003,fair,gas,172827,automatic,rwd,6 cylinders,white,3000
nissan,SUV,mid-size,2007,excellent,gas,187000,automatic,4wd,4 cylinders,blue,3000
ford,sedan,full-size,2006,good,gas,190000,automatic,fwd,6 cylinders,red,3000
mitsubishi,convertible,compact,2002,good,gas,204455,automatic,fwd,4 cylinders,white,3000
kia,sedan,mid-size,2009,good,gas,134000,automatic,fwd,4 cylinders,silver,3100
subaru,sedan,mid-size,2008,like new,gas,141631,manual,4wd,4 cylinders,silver,3100
chevrolet,SUV,full-size,2007,good,gas,102000,automatic,4wd,6 cylinders,red,3200
toyota,hatchback,mid-size,2007,good,gas,164000,automatic,fwd,4 cylinders,black,3200
chevrolet,coupe,compact,2006,good,gas,126800,manual,fwd,4 cylinders,black,3250
chevrolet,sedan,mid-size,2007,good,gas,188256,automatic,fwd,6 cylinders,black,3295
chevrolet,van,mid-size,2005,good,gas,228000,automatic,rwd,6 cylinders,red,3295
nissan,hatchback,mid-size,2000,good,gas,131000,automatic,rwd,6 cylinders,white,3300
mitsubishi,sedan,mid-size,2008,good,gas,152536,automatic,fwd,4 cylinders,white,3300
toyota,mini-van,full-size,2006,good,gas,195000,automatic,fwd,6 cylinders,brown,3300
nissan,SUV,full-size,2010,good,gas,199604,automatic,fwd,4 cylinders,brown,3300
audi,sedan,mid-size,2006,good,gas,16500,automatic,4wd,6 cylinders,silver,3400
ford,SUV,full-size,2006,excellent,gas,22800,automatic,4wd,8 cylinders,red,3400
chevrolet,sedan,mid-size,2011,like new,gas,104214,automatic,fwd,4 cylinders,white,3400
mercury,sedan,full-size,2005,good,gas,109500,automatic,rwd,8 cylinders,brown,3400
nissan,sedan,compact,2006,good,gas,117000,automatic,fwd,4 cylinders,silver,3400
nissan,SUV,full-size,2003,excellent,gas,147519,automatic,4wd,6 cylinders,silver,3400
chevrolet,sedan,full-size,2008,good,gas,155000,automatic,fwd,6 cylinders,red,3400
hyundai,sedan,mid-size,2006,good,gas,190000,automatic,fwd,6 cylinders,red,3400
dodge,sedan,compact,2005,excellent,gas,97117,automatic,fwd,4 cylinders,white,3450
toyota,sedan,mid-size,2001,excellent,gas,166313,automatic,fwd,4 cylinders,brown,3488
ford,sedan,mid-size,2011,excellent,gas,134200,automatic,fwd,4 cylinders,grey,3495
ford,sedan,compact,2006,excellent,gas,140000,automatic,fwd,4 cylinders,grey,3495
nissan,SUV,full-size,2004,excellent,gas,185747,automatic,4wd,6 cylinders,grey,3495
dodge,SUV,full-size,2009,good,gas,206149,automatic,fwd,4 cylinders,red,3495
toyota,sedan,compact,2007,good,gas,227109,automatic,fwd,4 cylinders,silver,3495
nissan,truck,full-size,2019,like new,gas,14240,automatic,rwd,8 cylinders,black,3500
ram,truck,full-size,2014,good,gas,68000,automatic,rwd,8 cylinders,silver,3500
toyota,sedan,compact,2005,good,gas,99800,automatic,fwd,4 cylinders,green,3500
saturn,SUV,mid-size,2006,fair,gas,112560,manual,fwd,4 cylinders,blue,3500
buick,sedan,mid-size,2006,excellent,gas,124749,automatic,fwd,6 cylinders,custom,3500
jaguar,sedan,full-size,2003,good,gas,127696,automatic,rwd,8 cylinders,blue,3500
mercedes-benz,SUV,mid-size,2002,good,gas,130000,automatic,4wd,8 cylinders,custom,3500
ford,truck,full-size,2007,good,gas,145000,automatic,rwd,6 cylinders,white,3500
kia,mini-van,mid-size,2006,excellent,gas,148101,automatic,fwd,6 cylinders,brown,3500
subaru,hatchback,mid-size,2005,excellent,gas,158000,automatic,4wd,4 cylinders,yellow,3500
honda,SUV,full-size,2004,good,gas,171000,automatic,4wd,6 cylinders,custom,3500
gmc,SUV,mid-size,2004,good,gas,172074,automatic,fwd,6 cylinders,black,3500
subaru,hatchback,compact,2005,good,gas,176000,manual,4wd,4 cylinders,silver,3500
ford,SUV,full-size,2005,excellent,gas,180000,automatic,rwd,6 cylinders,grey,3500
toyota,sedan,mid-size,2000,good,gas,180000,automatic,fwd,6 cylinders,silver,3500
buick,sedan,full-size,2008,good,gas,189300,automatic,fwd,6 cylinders,red,3500
ford,hatchback,compact,2012,excellent,gas,214000,automatic,fwd,4 cylinders,red,3500
lincoln,SUV,full-size,2007,fair,gas,220000,automatic,4wd,8 cylinders,silver,3500
honda,SUV,full-size,2004,good,gas,222000,automatic,4wd,6 cylinders,blue,3500
chevrolet,other,full-size,2000,fair,gas,317085,automatic,rwd,8 cylinders,white,3500
ford,van,full-size,2004,fair,gas,362654,automatic,fwd,8 cylinders,white,3500
honda,sedan,full-size,2002,excellent,gas,148450,automatic,fwd,4 cylinders,red,3550
ford,SUV,mid-size,2005,good,gas,139920,automatic,4wd,6 cylinders,white,3595
saturn,SUV,full-size,2009,excellent,gas,129000,automatic,4wd,6 cylinders,blue,3644
hyundai,coupe,compact,2006,good,gas,113000,automatic,fwd,6 cylinders,black,3650
subaru,wagon,mid-size,2010,excellent,gas,182458,manual,4wd,4 cylinders,silver,3700
mitsubishi,SUV,full-size,2003,good,gas,228714,automatic,4wd,6 cylinders,black,3700
hyundai,sedan,mid-size,2009,good,gas,170000,automatic,fwd,4 cylinders,black,3750
chrysler,hatchback,compact,2004,good,gas,136000,automatic,fwd,4 cylinders,custom,3800
toyota,sedan,full-size,2004,excellent,gas,180000,automatic,fwd,6 cylinders,silver,3800
honda,sedan,full-size,2001,excellent,gas,184768,automatic,fwd,6 cylinders,green,3800
ford,sedan,full-size,2008,excellent,gas,195000,automatic,fwd,4 cylinders,blue,3800
toyota,mini-van,full-size,2010,good,gas,214000,automatic,fwd,6 cylinders,blue,3888
ford,truck,full-size,2004,excellent,gas,122000,automatic,4wd,8 cylinders,white,3900
nissan,wagon,compact,2010,good,gas,127500,automatic,fwd,4 cylinders,silver,3900
chevrolet,sedan,full-size,2007,good,gas,140000,automatic,fwd,6 cylinders,grey,3900
kia,van,full-size,2007,good,gas,149751,automatic,fwd,6 cylinders,custom,3900
toyota,sedan,compact,2007,excellent,gas,197157,automatic,fwd,4 cylinders,silver,3900
ford,van,mid-size,2003,good,gas,149000,automatic,rwd,6 cylinders,grey,3950
mazda,sedan,mid-size,2007,good,gas,199055,automatic,fwd,4 cylinders,grey,3950
hyundai,SUV,mid-size,2009,good,gas,210780,automatic,fwd,4 cylinders,grey,3950
honda,van,full-size,2008,good,gas,196379,automatic,fwd,6 cylinders,silver,3988
saturn,mini-van,mid-size,2005,excellent,gas,144380,automatic,fwd,6 cylinders,white,3990
buick,SUV,mid-size,2004,good,gas,170000,automatic,fwd,6 cylinders,red,3990
rover,SUV,full-size,2005,good,gas,213000,automatic,4wd,8 cylinders,silver,3990
chevrolet,mini-van,mid-size,2002,like new,gas,67000,automatic,fwd,6 cylinders,brown,3995
hyundai,sedan,mid-size,2005,good,gas,98000,automatic,fwd,4 cylinders,silver,3995
kia,sedan,compact,2009,good,gas,107440,automatic,fwd,4 cylinders,red,3995
infiniti,sedan,mid-size,2000,excellent,gas,128000,automatic,fwd,6 cylinders,green,3995
lexus,SUV,mid-size,2000,like new,gas,151000,automatic,fwd,6 cylinders,white,3995
mitsubishi,coupe,mid-size,2011,like new,gas,171000,automatic,fwd,4 cylinders,orange,3995
mitsubishi,coupe,mid-size,2011,like new,gas,171000,automatic,fwd,4 cylinders,orange,3995
chevrolet,truck,full-size,2003,fair,gas,203523,automatic,4wd,8 cylinders,black,3995
honda,sedan,compact,2002,good,gas,204422,automatic,fwd,4 cylinders,blue,3995
chevrolet,sedan,mid-size,2008,excellent,gas,222002,automatic,fwd,6 cylinders,black,3995
toyota,sedan,compact,2007,good,gas,227109,automatic,fwd,4 cylinders,silver,3995
ford,SUV,full-size,2008,like new,gas,257501,automatic,fwd,6 cylinders,grey,3995
ford,SUV,full-size,2007,good,gas,261720,automatic,rwd,8 cylinders,white,3995
gmc,SUV,full-size,2002,excellent,gas,126000,automatic,rwd,8 cylinders,blue,3999
hyundai,sedan,mid-size,2008,excellent,gas,148000,automatic,fwd,4 cylinders,black,3999
audi,convertible,compact,2004,fair,gas,68000,automatic,4wd,6 cylinders,yellow,4000
honda,coupe,compact,2009,good,gas,136500,automatic,fwd,4 cylinders,black,4000
chevrolet,sedan,full-size,2011,excellent,gas,168000,automatic,fwd,6 cylinders,white,4000
chevrolet,SUV,full-size,2002,good,gas,189000,automatic,4wd,6 cylinders,red,4000
chrysler,convertible,compact,2006,good,gas,194000,automatic,fwd,4 cylinders,silver,4000
infiniti,sedan,mid-size,2003,good,gas,195000,automatic,fwd,6 cylinders,silver,4000
